manifest_id,split,source_class,target_class,filename,source_path,destination_path,file_size_bytes
11,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,28158d85c4b72050.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\28158d85c4b72050.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\28158d85c4b72050.jpg,28204
12,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,2e3296143a0517c7.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\2e3296143a0517c7.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\2e3296143a0517c7.jpg,23256
13,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,309d99703408e8f3.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\309d99703408e8f3.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\309d99703408e8f3.jpg,31929
14,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,323ffa92d4226add.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\323ffa92d4226add.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\323ffa92d4226add.jpg,34402
15,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,32a7a7d97885c0ca.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\32a7a7d97885c0ca.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\32a7a7d97885c0ca.jpg,23514
16,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,32dcd9a3f1e3154d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\32dcd9a3f1e3154d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\32dcd9a3f1e3154d.jpg,22048
17,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,33ec4aad8ca68120.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\33ec4aad8ca68120.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\33ec4aad8ca68120.jpg,22754
18,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,3b709c8e1194b0a8.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\3b709c8e1194b0a8.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\3b709c8e1194b0a8.jpg,25524
19,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,403273e74dfb672c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\403273e74dfb672c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\403273e74dfb672c.jpg,29637
20,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,427c8d709c8d2299.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\427c8d709c8d2299.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\427c8d709c8d2299.jpg,26856
21,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,434a365f7625ba6c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\434a365f7625ba6c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\434a365f7625ba6c.jpg,26022
22,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,43c12007b5f1cbb8.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\43c12007b5f1cbb8.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\43c12007b5f1cbb8.jpg,27352
23,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,43c1953efaf6dcfa.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\43c1953efaf6dcfa.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\43c1953efaf6dcfa.jpg,22249
24,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,4dee06f758a2b6ff.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\4dee06f758a2b6ff.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\4dee06f758a2b6ff.jpg,27490
25,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,57b349a532d66d87.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\57b349a532d66d87.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\57b349a532d66d87.jpg,27769
26,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,61c788a4db9f9259.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\61c788a4db9f9259.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\61c788a4db9f9259.jpg,20080
27,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,6dcca6af1b909662.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\6dcca6af1b909662.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\6dcca6af1b909662.jpg,23677
28,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,75219fd043256409.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\75219fd043256409.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\75219fd043256409.jpg,27354
29,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,7a766a128d78548f.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\7a766a128d78548f.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\7a766a128d78548f.jpg,34963
30,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,7f6718a551753762.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\7f6718a551753762.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\7f6718a551753762.jpg,20577
31,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,82d057bc5c41394c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\82d057bc5c41394c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\82d057bc5c41394c.jpg,33334
32,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,83b44c294632cff6.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\83b44c294632cff6.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\83b44c294632cff6.jpg,29262
33,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,859eaaefcbf35298.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\859eaaefcbf35298.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\859eaaefcbf35298.jpg,24361
34,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,8ae01b2b4aa2acdc.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\8ae01b2b4aa2acdc.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\8ae01b2b4aa2acdc.jpg,31397
35,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,8b1230c6f3bf9537.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\8b1230c6f3bf9537.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\8b1230c6f3bf9537.jpg,20547
36,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,911314d58816a37d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\911314d58816a37d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\911314d58816a37d.jpg,20594
37,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,9b2dc44f1fea8670.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\9b2dc44f1fea8670.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\9b2dc44f1fea8670.jpg,37877
38,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,a133e26b82a8daec.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\a133e26b82a8daec.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\a133e26b82a8daec.jpg,31500
39,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,a267ce241d89e1a6.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\a267ce241d89e1a6.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\a267ce241d89e1a6.jpg,23242
40,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,a3045de72ec7626b.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\a3045de72ec7626b.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\a3045de72ec7626b.jpg,27879
41,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,a5c8fa9751251d42.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\a5c8fa9751251d42.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\a5c8fa9751251d42.jpg,22876
42,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,a9cdac6c78dc3d5e.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\a9cdac6c78dc3d5e.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\a9cdac6c78dc3d5e.jpg,26875
43,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,ad70f04849f895a5.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\ad70f04849f895a5.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\ad70f04849f895a5.jpg,22973
44,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,b2cdd69af1cbfe20.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\b2cdd69af1cbfe20.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\b2cdd69af1cbfe20.jpg,18882
45,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,b3c9542a6a4cf926.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\b3c9542a6a4cf926.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\b3c9542a6a4cf926.jpg,19451
46,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,b634391244684406.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\b634391244684406.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\b634391244684406.jpg,28145
47,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,b775d95f4abae6eb.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\b775d95f4abae6eb.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\b775d95f4abae6eb.jpg,26717
48,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,b8f11d0e73109ff5.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\b8f11d0e73109ff5.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\b8f11d0e73109ff5.jpg,29120
49,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,b9800dd6121accb7.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\b9800dd6121accb7.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\b9800dd6121accb7.jpg,29079
50,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,bb71320f10d70845.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\bb71320f10d70845.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\bb71320f10d70845.jpg,24496
51,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,c43aeca41451755c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\c43aeca41451755c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\c43aeca41451755c.jpg,24538
52,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,c62deb9cda4e744b.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\c62deb9cda4e744b.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\c62deb9cda4e744b.jpg,22830
53,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,c6974bd87eaf13b3.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\c6974bd87eaf13b3.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\c6974bd87eaf13b3.jpg,17005
54,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,cb281bd7efbae380.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\cb281bd7efbae380.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\cb281bd7efbae380.jpg,23691
55,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,cd47f80b40dff1f2.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\cd47f80b40dff1f2.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\cd47f80b40dff1f2.jpg,33046
56,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,cefa2bd284506f47.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\cefa2bd284506f47.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\cefa2bd284506f47.jpg,23360
57,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,cf58b413dc9e61a8.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\cf58b413dc9e61a8.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\cf58b413dc9e61a8.jpg,30296
58,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,d52ac12cfabc7397.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\d52ac12cfabc7397.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\d52ac12cfabc7397.jpg,25771
59,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,d687a25b410d3556.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\d687a25b410d3556.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\d687a25b410d3556.jpg,18044
60,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,d97f5c69cffac978.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\d97f5c69cffac978.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\d97f5c69cffac978.jpg,31914
61,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,e1f1daa834f094e9.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\e1f1daa834f094e9.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\e1f1daa834f094e9.jpg,22186
62,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,e21eb38b3cf7cbb6.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\e21eb38b3cf7cbb6.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\e21eb38b3cf7cbb6.jpg,20145
63,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,e5844771b487f68b.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\e5844771b487f68b.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\e5844771b487f68b.jpg,19525
64,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,eb4c9b17f9baea6d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\eb4c9b17f9baea6d.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\eb4c9b17f9baea6d.jpg,22352
65,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,f1a6de284da23774.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\f1a6de284da23774.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\f1a6de284da23774.jpg,22076
66,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,f79a828c4bd6550c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\f79a828c4bd6550c.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\f79a828c4bd6550c.jpg,22697
67,train,tomato___bacterial_leaf_spot,tomato___bacterial_spot,f92e80abf074bcbd.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_leaf_spot\f92e80abf074bcbd.jpg,C:\cts\Efficientnet\Leafcare-model\data\train\tomato___bacterial_spot\f92e80abf074bcbd.jpg,33135
68,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,0113b21e3abe1d9f.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\0113b21e3abe1d9f.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\0113b21e3abe1d9f.jpg,33757
69,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,0e60041998d577f8.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\0e60041998d577f8.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\0e60041998d577f8.jpg,28418
70,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,0e80f6f02654439c.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\0e80f6f02654439c.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\0e80f6f02654439c.jpg,24534
71,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,37f283b1586a5ab8.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\37f283b1586a5ab8.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\37f283b1586a5ab8.jpg,27676
72,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,39f9a4a863ab0282.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\39f9a4a863ab0282.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\39f9a4a863ab0282.jpg,20181
73,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,3f67d6f1e8412543.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\3f67d6f1e8412543.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\3f67d6f1e8412543.jpg,22281
74,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,4eb016394490338c.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\4eb016394490338c.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\4eb016394490338c.jpg,30640
75,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,73fcfac8a1085319.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\73fcfac8a1085319.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\73fcfac8a1085319.jpg,27076
76,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,84b2e6e9fc5f853c.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\84b2e6e9fc5f853c.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\84b2e6e9fc5f853c.jpg,21677
77,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,8cd816fa9d620063.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\8cd816fa9d620063.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\8cd816fa9d620063.jpg,27056
78,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,915dfdbade344223.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\915dfdbade344223.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\915dfdbade344223.jpg,33491
79,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,984edb0b8a982145.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\984edb0b8a982145.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\984edb0b8a982145.jpg,24492
80,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,e51376d810f18a70.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\e51376d810f18a70.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\e51376d810f18a70.jpg,24865
81,val,tomato___bacterial_leaf_spot,tomato___bacterial_spot,f6af382649670cfc.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_leaf_spot\f6af382649670cfc.jpg,C:\cts\Efficientnet\Leafcare-model\data\val\tomato___bacterial_spot\f6af382649670cfc.jpg,31212
82,test,tomato___bacterial_leaf_spot,tomato___bacterial_spot,1449b6a24564f08d.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_leaf_spot\1449b6a24564f08d.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\1449b6a24564f08d.jpg,27972
83,test,tomato___bacterial_leaf_spot,tomato___bacterial_spot,1c8616b6ffebf013.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_leaf_spot\1c8616b6ffebf013.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\1c8616b6ffebf013.jpg,37118
84,test,tomato___bacterial_leaf_spot,tomato___bacterial_spot,30ccd8da51972c22.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_leaf_spot\30ccd8da51972c22.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\30ccd8da51972c22.jpg,38305
85,test,tomato___bacterial_leaf_spot,tomato___bacterial_spot,3341c9b20320a4ae.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_leaf_spot\3341c9b20320a4ae.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\3341c9b20320a4ae.jpg,15751
86,test,tomato___bacterial_leaf_spot,tomato___bacterial_spot,76d12e372988337d.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_leaf_spot\76d12e372988337d.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\76d12e372988337d.jpg,31697
87,test,tomato___bacterial_leaf_spot,tomato___bacterial_spot,9548c11e8d032717.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_leaf_spot\9548c11e8d032717.jpg,C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\9548c11e8d032717.jpg,24628
