image_path,true_class,predicted_class,confidence,error_type,reason_for_review
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___septoria_leaf_spot\ef3dc681-0b48-4453-aa1f-1f898b86df8c___Keller.St_CG 1958.JPG,tomato___septoria_leaf_spot,tomato___late_blight,0.9622835516929626,A. Same crop / Visually similar diseases,Very high confidence misclassification (96.2%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___septoria_leaf_spot\d9414fca-6dbf-4c2c-b2fb-2ea61ea07028___Matt.S_CG 0728.JPG,tomato___septoria_leaf_spot,tomato___bacterial_spot,0.9556007981300354,A. Same crop / Visually similar diseases,Very high confidence misclassification (95.6%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\squash___powdery_mildew\4f4d2623-c7ca-4b28-80e0-b2af39b2b1fc___MD_Powd.M 0255.JPG,squash___powdery_mildew,tomato___bacterial_spot,0.954933762550354,D. Cross-crop disease vs disease,Very high confidence misclassification (95.5%) — D. Cross-crop disease vs disease
C:\cts\Efficientnet\Leafcare-model\data\test\corn_maize___cercospora_leaf_spot_gray_leaf_spot\ec76caa7-e1a4-440e-9b4c-3ee355aac33b___RS_GLSp 4479.JPG,corn_maize___cercospora_leaf_spot_gray_leaf_spot,corn_maize___northern_leaf_blight,0.952582597732544,A. Same crop / Visually similar diseases,Very high confidence misclassification (95.3%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___late_blight\745086e9-2e07-48e3-809e-7448e14332ef___GHLB2 Leaf 134.2.JPG,tomato___late_blight,tomato___bacterial_spot,0.9497660398483276,A. Same crop / Visually similar diseases,High confidence misclassification (95.0%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\corn_maize___cercospora_leaf_spot_gray_leaf_spot\a17a47b5-a52e-4708-ac79-f435652966d6___RS_GLSp 4478.JPG,corn_maize___cercospora_leaf_spot_gray_leaf_spot,corn_maize___northern_leaf_blight,0.9449735879898072,A. Same crop / Visually similar diseases,High confidence misclassification (94.5%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\potato___late_blight\613b5b7f-225d-4df8-8893-0f30111925ae___RS_LB 4243.JPG,potato___late_blight,potato___early_blight,0.9447193145751952,A. Same crop / Visually similar diseases,High confidence misclassification (94.5%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\grape___esca_black_measles\0e1c89b9-d289-471a-988f-850f4874621e___FAM_B.Msls 3950.JPG,grape___esca_black_measles,grape___black_rot,0.9439164400100708,A. Same crop / Visually similar diseases,High confidence misclassification (94.4%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\8b4f1638-2795-4da0-8aa6-06792870bf86___GCREC_Bact.Sp 3591.JPG,tomato___bacterial_spot,tomato___target_spot,0.9435341358184814,A. Same crop / Visually similar diseases,High confidence misclassification (94.4%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___late_blight\418ae33c-5f61-4531-82df-8608d82a7a90___RS_Late.B 5574.JPG,tomato___late_blight,tomato___septoria_leaf_spot,0.942183256149292,A. Same crop / Visually similar diseases,High confidence misclassification (94.2%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\grape___esca_black_measles\cfd7c9e5-bab4-49a5-b902-15c09de3c3ea___FAM_B.Msls 1068.JPG,grape___esca_black_measles,grape___black_rot,0.9383946061134338,A. Same crop / Visually similar diseases,High confidence misclassification (93.8%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\apple___apple_scab\7efdde34-c75b-40bc-92ef-48de08ec0709___FREC_Scab 3027.JPG,apple___apple_scab,pepper_bell___bacterial_spot,0.9301699995994568,D. Cross-crop disease vs disease,High confidence misclassification (93.0%) — D. Cross-crop disease vs disease
C:\cts\Efficientnet\Leafcare-model\data\test\corn_maize___cercospora_leaf_spot_gray_leaf_spot\7118cb62-d96a-4ae0-8c85-634aa6bc6f62___RS_GLSp 4354.JPG,corn_maize___cercospora_leaf_spot_gray_leaf_spot,corn_maize___northern_leaf_blight,0.9279347658157348,A. Same crop / Visually similar diseases,High confidence misclassification (92.8%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\soybean___healthy\3b96870e-1931-4acb-8b74-021c27915396___RS_HL 6678.JPG,soybean___healthy,apple___healthy,0.9255939722061156,C. Healthy vs Diseased,High confidence misclassification (92.6%) — C. Healthy vs Diseased
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___septoria_leaf_spot\1d3dc5a7-5c0a-4852-8210-b06eede5d40a___Matt.S_CG 6071.JPG,tomato___septoria_leaf_spot,tomato___bacterial_spot,0.924698531627655,A. Same crop / Visually similar diseases,High confidence misclassification (92.5%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___early_blight\3069555f-45e9-4208-bc5e-015ce47e34e2___RS_Erly.B 7663.JPG,tomato___early_blight,tomato___spider_mites_two_spotted_spider_mite,0.9243139028549194,A. Same crop / Visually similar diseases,High confidence misclassification (92.4%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___target_spot\4d72bd56-c91d-41d7-9b7f-9c624e63c22a___Com.G_TgS_FL 0023.JPG,tomato___target_spot,tomato___bacterial_spot,0.9195871353149414,A. Same crop / Visually similar diseases,High confidence misclassification (92.0%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___spider_mites_two_spotted_spider_mite\d36f91af-2f89-4834-b088-e0604cf9716b___Com.G_SpM_FL 1765.JPG,tomato___spider_mites_two_spotted_spider_mite,tomato___target_spot,0.9184879064559937,A. Same crop / Visually similar diseases,High confidence misclassification (91.8%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___late_blight\6e45480a-127e-4173-9402-7b724728a139___RS_Late.B 4837.JPG,tomato___late_blight,tomato___leaf_mold,0.9164882898330688,A. Same crop / Visually similar diseases,High confidence misclassification (91.6%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___spider_mites_two_spotted_spider_mite\ae815daa-4243-42c9-95a1-a9764cfd8565___Com.G_SpM_FL 8693.JPG,tomato___spider_mites_two_spotted_spider_mite,tomato___tomato_mosaic_virus,0.9137774109840392,A. Same crop / Visually similar diseases,High confidence misclassification (91.4%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___late_blight\26fa9fb7-10fa-496c-9433-e4053ff456da___RS_Late.B 4867.JPG,tomato___late_blight,tomato___early_blight,0.9105108976364136,A. Same crop / Visually similar diseases,High confidence misclassification (91.1%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\corn_maize___cercospora_leaf_spot_gray_leaf_spot\9103b8e5-919c-4d08-a282-25176874769c___RS_GLSp 4653.JPG,corn_maize___cercospora_leaf_spot_gray_leaf_spot,corn_maize___northern_leaf_blight,0.9104182124137878,A. Same crop / Visually similar diseases,High confidence misclassification (91.0%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___early_blight\c21e480d-8263-4b9c-b429-4beceb2cb7d0___RS_Erly.B 8292.JPG,tomato___early_blight,potato___early_blight,0.9079527258872986,B. Cross-crop identical pathogen (Alternaria solani),High confidence misclassification (90.8%) — B. Cross-crop identical pathogen (Alternaria solani)
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\962399bf-bc19-48a8-99b1-92b2963c2dcd___UF.GRC_BS_Lab Leaf 1074.JPG,tomato___bacterial_spot,tomato___early_blight,0.90586918592453,A. Same crop / Visually similar diseases,High confidence misclassification (90.6%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___bacterial_spot\90cbe307-2ec6-45f8-b62d-b6fb602466f4___UF.GRC_BS_Lab Leaf 8592.JPG,tomato___bacterial_spot,tomato___septoria_leaf_spot,0.9052581191062928,A. Same crop / Visually similar diseases,High confidence misclassification (90.5%) — A. Same crop / Visually similar diseases
C:\cts\Efficientnet\Leafcare-model\data\test\tomato___target_spot\5553c138-0dd3-440b-b6b7-06847298450e___Com.G_TgS_FL 0977.JPG,tomato___target_spot,tomato___healthy,0.904244065284729,C. Healthy vs Diseased,High confidence misclassification (90.4%) — C. Healthy vs Diseased
